SN_Name,old_name,redshift,year
sn2003u,sn2003u,0.028341,2003
sn2006bp,sn2006bp,0.003509,2006
sn1994m,sn1994m,0.02316,1994
sn2004as,sn2004as,0.031021,2004
sn2003bg,sn2003bg,0.00456,2003
sn2001fh,sn2001fh,0.01299,2001
sn2004ef,sn2004ef,0.029771,2004
sn1999gd,sn99gd,0.01851,1999
sn2004at,sn2004at,0.023131,2004
sn1998co,sn1998co,0.01807,1998
sn1981b,sn1981b,0.006031,1981
sn2000dk,sn2000dk,0.01744,2000
sn2003iv,sn03iv,0.034307,2003
sn2002cs,sn02cs,0.01577,2002
sn2006bw,sn2006bw,0.030002,2006
sn1994d,sn1994d,0.00149,1994
sn1995ak,sn1995ak,0.02272,1995
sn2000b,sn2000b,0.01983,2000
sn2005am,sn05am,0.007899,2005
sn2002jg,sn2002jg,0.01574,2002
sn2006eu,sn2006eu,0.02359,2006
sn2000cw,sn00cw,0.030134,2000
sn2006lf,sn2006lf,0.013189,2006
sn2004bd,sn2004bd,0.00893,2004
sn1998dm,sn1998dm,0.006541,1998
sn2002kf,sn02kf,0.0193,2002
sn2002jy,sn02jy,0.0196,2002
sn2001ex,sn2001ex,0.02638,2001
sn1986g,sn1986g,0.00183,1986
sn2004eo,sn2004eo,0.014734,2004
sn2000cn,sn2000cn,0.02349,2000
sn1995al,sn1995al,0.00514,1995
sn1997br,sn97br,0.006941,1997
sn2000e,sn2000e,0.00414,2000
sn2002er,sn02er,0.008569,2002
sn2002cr,sn02cr,0.00948,2002
sn2002cs,sn2002cs,0.01577,2002
sn1997cn,sn1997cn,0.0162,1997
sn2006h,sn2006h,0.01399,2006
sn2004fu,sn04fu,0.00921,2004
sn1999dq,sn1999dq,0.01433,1999
sn2002el,sn02el,0.02873,2002
sn2003ch,sn2003ch,0.0268,2003
sn1998bu,sn98bu,0.002992,1998
sn2002kf,sn2002kf,0.0193,2002
sn1999gh,sn1999gh,0.007679,1999
sn1998es,sn98es,0.01057,1998
sn2000cp,sn00cp,0.034204,2000
sn1995e,sn1995e,0.01158,1995
sn2000bh,sn2000bh,0.02281,2000
sn1987a,sn1987a,9.51e-06,1987
sn2002cx,sn02cx,0.02396,2002
sn2006gj,sn2006gj,0.02829,2006
sn2004as,sn04as,0.031021,2004
sn2001ep,sn01ep,0.013012,2001
sn1995d,sn95d,0.006561,1995
sn1994ae,sn94ae,0.004266,1994
sn2006cq,sn2006cq,0.048337,2006
sn2005ke,sn2005ke,0.00488,2005
sn2005de,sn05de,0.015184,2005
sn2008a,sn08a,0.016455,2008
sn2007au,sn2007au,0.020584,2007
sn2006ef,sn06ef,0.017006,2006
sn1998v,sn1998v,0.01759,1998
sn2006cj,sn2006cj,0.067517,2006
sn2007fb,sn2007fb,0.018026,2007
sn2006cm,sn2006cm,0.016341,2006
sn1994ae,sn1994ae,0.004266,1994
sn2005lu,sn2005lu,0.031293,2005
sn1998bu,sn1998bu,0.002992,1998
sn2001v,sn2001v,0.01502,2001
sn2006cc,sn2006cc,0.032529,2006
sn2002ap,sn2002ap,0.002108,2002
sn2006n,sn06n,0.014277,2006
sn2007al,sn07al,0.012122,2007
sn2000fa,sn2000fa,0.02127,2000
sn1989b,sn1989b,0.002425,1989
sn2005m,sn2005m,0.022972,2005
sn2004bg,sn04bg,0.021035,2004
sn2008l,sn2008l,0.0194,2008
sn1999cp,sn99cp,0.00948,1999
sn1998ab,sn1998ab,0.02725,1998
sn2002aw,sn2002aw,0.026145,2002
sn2005bc,sn2005bc,0.012272,2005
sn2002hd,sn2002hd,0.035001,2002
sn2006s,sn2006s,0.032102,2006
sn1996bo,sn1996bo,0.01728,1996
sn2001gc,sn2001gc,0.01929,2001
sn1991t,sn1991t,0.005791,1991
sn2000bk,sn2000bk,0.025444,2000
sn2006nz,sn2006nz,0.03816,2006
sn1996x,sn1996x,0.00689,1996
sn2007ba,sn2007ba,0.038513,2007
sn1999dk,sn99dk,0.01496,1999
sn2007fs,sn2007fs,0.01719,2007
sn2004gs,sn2004gs,0.027498,2004
sn2001en,sn01en,0.015871,2001
sn2001g,sn2001g,0.01677,2001
sn2005bc,sn05bc,0.012272,2005
sn2000cn,sn00cn,0.02349,2000
sn1996ai,sn1996ai,0.00316,1996
sn2007ax,sn2007ax,0.006861,2007
sn2002es,sn2002es,0.02843,2002
sn1998ef,sn1998ef,0.01774,1998
sn1997do,sn1997do,0.01012,1997
sn2008z,sn2008z,0.02099,2008
sn1999cp,sn1999cp,0.00948,1999
sn2001n,sn2001n,0.021025,2001
sn2005ki,sn05ki,0.019207,2005
sn1999cw,sn1999cw,0.01237,1999
